Age,ONLocation,CarAge,Claim
73,Garage,1,Yes
37,Garage,1,No
74,Road,1,Yes
27,Garage,4,No
61,Drive,2,Yes
22,Road,1,No
80,Garage,2,Yes
19,Garage,1,No
56,Garage,11,Yes
45,Drive,4,No
45,Garage,1,No
47,Road,1,Yes
50,Garage,1,No
55,Road,2,Yes
58,Garage,1,No
57,Garage,5,Yes
54,Road,2,Yes
53,Road,13,Yes
40,Garage,10,Yes
29,Garage,12,No
45,Garage,5,No
40,Garage,2,Yes
23,Garage,1,Yes
59,Drive,1,Yes
77,Garage,5,No
65,Garage,15,No
48,Garage,18,Yes
39,Garage,8,No
33,Garage,4,Yes
73,Garage,1,Yes
30,Garage,3,No
71,Drive,10,Yes
60,Garage,12,Yes
32,Garage,1,No
52,Drive,2,No
18,Road,2,Yes
33,Garage,5,No
42,Garage,4,No
76,Garage,14,No
46,Garage,1,No
18,Garage,1,Yes
32,Garage,3,No
74,Garage,3,No
67,Garage,2,No
25,Garage,6,No
55,Garage,3,No
36,Road,1,No
55,Garage,11,No
21,Garage,8,No
72,Garage,2,No
70,Garage,20,Yes
55,Garage,3,No
72,Garage,1,No
51,Garage,1,No
75,Garage,1,No
74,Garage,7,Yes
35,Garage,4,No
79,Garage,2,Yes
37,Drive,2,No
74,Garage,1,Yes
34,Road,15,Yes
28,Garage,1,No
30,Garage,19,No
50,Garage,6,No
34,Garage,1,No
61,Drive,3,No
54,Garage,2,No
50,Garage,2,No
53,Garage,1,No
24,Garage,4,No
45,Garage,1,No
61,Garage,1,Yes
51,Garage,3,No
80,Garage,3,No
63,Garage,1,No
26,Garage,8,No
25,Drive,6,No
72,Drive,12,Yes
57,Road,8,Yes
28,Garage,18,No
30,Road,11,Yes
28,Garage,1,No
25,Drive,1,No
76,Garage,1,No
74,Road,2,Yes
31,Garage,14,No
47,Garage,5,No
48,Garage,2,Yes
26,Garage,4,No
23,Garage,1,Yes
21,Garage,1,Yes
19,Garage,1,Yes
25,Road,1,Yes
20,Garage,2,No
74,Road,1,Yes
63,Road,7,Yes
67,Garage,1,No
26,Drive,6,No
43,Garage,5,No
59,Garage,12,Yes
78,Garage,16,Yes
78,Garage,4,Yes
64,Garage,2,Yes
38,Garage,2,No
40,Garage,1,No
66,Garage,5,Yes
43,Road,2,No
69,Garage,7,No
64,Garage,4,No
31,Garage,3,No
43,Garage,6,No
62,Garage,14,No
66,Road,1,Yes
42,Garage,2,Yes
21,Garage,3,No
46,Garage,8,No
36,Road,15,Yes
74,Garage,7,No
49,Garage,3,No
24,Garage,1,Yes
52,Road,3,Yes
47,Garage,6,No
53,Garage,1,No
37,Drive,1,No
71,Garage,2,Yes
25,Garage,3,No
43,Garage,4,No
69,Garage,10,Yes
39,Garage,2,No
56,Drove,2,Yes
44,Garage,3,No
41,Garage,2,Yes
27,Garage,4,No
20,Garage,19,No
70,Road,1,Yes
71,Road,1,Yes
27,Garage,9,No
41,Drive,1,Yes
77,Garage,4,Yes
64,Garage,6,No
28,Garage,4,No
48,Road,4,Yes
67,Garage,3,No
30,Drive,12,No
36,Garage,3,No
66,Garage,1,No
69,Drive,6,Yes
49,Garage,6,No
35,Garage,3,No
71,Garage,1,Yes
34,Garage,2,No
57,Road,8,Yes
60,Garage,3,No
71,Garage,4,Yes
45,Garage,16,No
28,Garage,3,No
68,Road,1,Yes
61,Drive,4,Yes
49,Garage,9,No
46,Garage,3,No
72,Garage,11,Yes
64,Garage,1,No
18,Garage,4,Yes
60,Garage,9,No
40,Garage,2,No
54,Garage,2,No
52,Garage,17,Yes
64,Garage,1,No
31,Road,11,No
33,Garage,2,No
37,Road,1,No
41,Garage,16,No
23,Garage,1,No
64,Garage,1,No
27,Garage,2,No
52,Road,1,No
20,Road,10,Yes
36,Road,2,Yes
34,Road,1,Yes
23,Garage,6,Yes
52,Garage,16,Yes
24,Garage,5,No
52,Garage,17,Yes
52,Road,2,Yes
30,Road,9,No
80,Garage,2,Yes
25,Garage,7,No
23,Garage,1,Yes
26,Garage,7,No
42,Garage,6,No
54,Garage,1,Yes
79,Road,12,Yes
80,Garage,1,Yes
76,Garage,1,No
36,Road,1,No
72,Road,11,Yes
49,Road,1,No
39,Garage,7,No
33,Garage,16,No
80,Garage,2,Yes
65,Garage,1,No
44,Drive,8,No
53,Garage,7,Yes
55,Garage,1,No
46,Garage,15,No
54,Garage,10,No
42,Garage,1,Yes
53,Garage,3,No
44,Road,8,Yes
55,Road,1,No
52,Garage,10,No
72,Garage,2,No
64,Garage,2,Yes
19,Garage,10,Yes
73,Road,1,Yes
71,Garage,5,Yes
79,Garage,3,No
43,Garage,3,No
18,Garage,2,No
76,Garage,11,No
32,Garage,9,No
25,Garage,5,No
37,Drive,1,No
46,Garage,3,No
27,Road,1,Yes
73,Drive,1,Yes
30,Garage,2,No
68,Garage,9,Yes
70,Garage,7,Yes
51,Garage,18,No
44,Garage,11,No
30,Garage,8,No
77,Road,5,Yes
73,Road,5,Yes
50,Garage,1,No
37,Drive,2,No
41,Garage,2,No
29,Garage,14,No
25,Garage,1,No
60,Garage,1,No
53,Road,4,Yes
76,Garage,9,Yes
20,Garage,17,Yes
18,Garage,11,No
49,Garage,2,Yes
58,Garage,1,No
32,Garage,15,No
65,Garage,1,No
28,Garage,7,No
26,Garage,6,No
29,Garage,4,Yes
18,Garage,3,Yes
21,Garage,7,Yes
37,Garage,2,No
44,Drive,1,No
42,Garage,6,No
76,Road,3,Yes
45,Road,3,Yes
50,Garage,2,No
61,Road,3,Yes
63,Garage,2,Yes
45,Road,1,Yes
42,Road,2,Yes
38,Garage,2,No
67,Road,16,Yes
41,Road,2,Yes
39,Garage,1,No
58,Road,6,Yes
42,Garage,11,No
37,Garage,4,No
63,Garage,1,No
35,Garage,1,Yes
71,Garage,7,Yes
34,Drive,1,No
54,Garage,6,Yes
75,Garage,8,Yes
77,Garage,2,Yes
30,Road,11,Yes
32,Drive,1,No
61,Garage,9,Yes
28,Garage,9,No
46,Garage,1,No
71,Garage,15,Yes
43,Garage,3,Yes
21,Garage,5,No
26,Garage,13,Yes
37,Garage,1,No
45,Road,8,Yes
76,Garage,6,Yes
70,Garage,3,Yes
22,Garage,1,Yes
49,Garage,7,No
20,Road,17,Yes
74,Road,1,Yes
65,Garage,1,No
25,Garage,3,Yes
38,Garage,1,No
70,Drive,3,Yes
62,Drive,11,Yes
52,Garage,5,No
65,Drive,1,Yes
69,Road,1,Yes
59,Drive,1,No
39,Drive,1,No
76,Garage,7,Yes
75,Garage,11,No
64,Garage,18,Yes
67,Garage,14,Yes
36,Garage,1,No
23,Garage,1,Yes
68,Drive,13,Yes
44,Garage,12,No
73,Garage,1,No
69,Drive,1,No
31,Garage,7,Yes
54,Garage,15,No
44,Road,1,No
36,Road,15,Yes
74,Garage,2,Yes
48,Garage,3,No
36,Garage,12,No
56,Garage,5,Yes
24,Road,2,Yes
59,Garage,8,Yes
76,Road,5,Yes
23,Garage,3,No
43,Garage,6,No
54,Garage,4,No
56,Road,17,Yes
72,Drive,4,No
69,Road,18,Yes
64,Garage,3,Yes
25,Road,2,No
65,Road,13,Yes
35,Road,1,No
60,Garage,1,Yes
56,Road,3,Yes
41,Road,5,Yes
53,Garage,16,No
37,Garage,7,Yes
34,Garage,2,No
37,Garage,11,Yes
53,Garage,2,No
25,Garage,7,No
74,Drive,2,No
22,Road,1,Yes
58,Garage,19,Yes
58,Garage,14,No
28,Garage,3,No
74,Garage,5,Yes
46,Garage,7,No
49,Garage,2,Yes
19,Road,1,No
50,Drive,9,Yes
36,Drive,2,No
72,Road,12,Yes
79,Drive,2,No
45,Garage,1,Yes
38,Garage,4,No
70,Garage,4,No
44,Garage,1,No
68,Garage,1,No
45,Drive,11,No
72,Road,4,No
36,Drive,4,No
45,Garage,10,No
25,Garage,16,No
66,Garage,3,No
52,Drive,18,Yes
59,Garage,4,No
76,Garage,2,No
38,Garage,1043,No
59,Road,1,Yes
47,Garage,1,No
70,Garage,5,Yes
38,Drive,2,No
70,Road,1,Yes
52,Road,17,Yes
21,Road,6,Yes
73,Garage,3,Yes
20,Garage,16,Yes
59,Road,5,Yes
29,Garage,1,No
65,Garage,1,Yes
34,Garage,5,No
69,Garage,2,Yes
68,Garage,4,Yes
68,Garage,3,Yes
53,Garage,6,No
48,Garage,9,No
21,Garage,16,Yes
19,Road,4,Yes
79,Garage,1,Yes
52,Road,13,Yes
32,Garage,18,No
78,Drive,9,Yes
30,Road,1,Yes
19,Garage,1,No
80,Drive,10,Yes
55,Garage,5,No
43,Garage,2,No
28,Garage,7,No
57,Garage,2,No
33,Garage,2,Yes
30,Road,1,No
67,Garage,1,No
77,Garage,17,Yes
32,Garage,9,No
31,Road,6,Yes
67,Road,13,Yes
47,Road,1,Yes
38,Road,4,Yes
59,Garage,4,No
59,Road,4,Yes
59,Garage,1,No
59,Road,1,Yes
66,Road,2,Yes
73,Garage,18,Yes
48,Garage,2,Yes
80,Garage,13,Yes
43,Garage,17,No
49,Road,12,No
79,Road,6,Yes
22,Garage,6,Yes
76,Garage,4,No
25,Garage,19,No
55,Garage,9,No
71,Drive,6,Yes
43,Garage,19,No
47,Garage,4,No
23,Garage,1,No
74,Garage,16,No
49,Garage,1,No
34,Drive,3,No
47,Garage,4,No
32,Drive,4,No
32,Drive,6,No
59,Road,1,Yes
62,Road,2,Yes
50,Road,3,Yes
43,Garage,400,No
54,Garage,2,No
73,Garage,5,No
37,Road,1,No
46,Garage,1,No
60,Road,5,No
68,Garage,11,Yes
75,Garage,3,No
63,Garage,3,Yes
60,Garage,3,No
64,Garage,6,No
70,Road,1,Yes
73,Garage,4,Yes
28,Garage,1,No
55,Garage,2,Yes
73,Garage,6,Yes
35,Garage,2,No
30,Garage,2,No
63,Road,1,Yes
44,Garage,5,No
53,Garage,4,No
52,Garage,2,Yes
24,Road,10,Yes
33,Garage,20,No
31,Garage,18,No
77,Road,1,Yes
45,Garage,4,No
47,Road,3,Yes
60,Garage,18,Yes
20,Garage,9,No
18,Garage,5,No
42,Garage,1,Yes
57,Road,1,Yes
76,Garage,7,Yes
18,Garage,7,No
74,Garage,7,Yes
75,Garage,2,No
22,Garage,5,Yes
60,Road,7,Yes
26,Garage,3,No
35,Garage,1,No
37,Garage,6,No
65,Garage,5,No
44,Road,5,Yes
20,Garage,12,Yes
21,Garage,4,No
38,Garage,1,No
20,Garage,8,Yes
22,Garage,7,Yes
62,Garage,1,Yes
28,Garage,1,Yes
70,Garage,9,Yes
45,Road,13,Yes
58,Garage,15,Yes
20,Garage,2,Yes
32,Garage,5,Yes
56,Garage,4,No
57,Garage,1,No
26,Road,1,No
44,Garage,17,No
29,Garage,13,No
53,Road,4,No
34,Garage,1,No
76,Garage,11,No
51,Garage,1,No
21,Garage,14,Yes
70,Garage,15,No
77,Garage,8,Yes
65,Garage,6,No
31,Garage,8,No
65,Garage,3,No
38,Garage,11,No
31,Road,2,No
56,Road,8,Yes
49,Garage,1,Yes
70,Garage,3,Yes
19,Garage,2,No
22,Road,1,Yes
32,Garage,8,No
57,Garage,4,No
31,Garage,9,No
64,Garage,1,Yes
63,Road,11,Yes
55,Garage,14,No
71,Garage,1,No
20,Garage,13,No
53,Garage,1,No
69,Garage,1,No
60,Garage,11,No
75,Road,8,Yes
53,Garage,8,Yes
28,Garage,6,No
38,Road,1,No
52,Garage,3,No
45,Garage,1,No
71,Garage,19,No
59,Garage,1,No
79,Garage,15,Yes
27,Garage,6,No
71,Road,8,Yes
35,Garage,2,No
31,Road,5,No
70,Road,6,Yes
68,Road,2,Yes
50,Garage,6,No
45,Garage,4,No
67,Garage,10,Yes
65,Garage,9,No
28,Garage,5,No
